Razăo Social;Fundo;Código
B- INDEX MORNINGSTAR BRASIL MOMENTO FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;B INDEX MOME;BMMT;
BB ETF IAGRO-FFS B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF IAGRO;AGRI;
BB ETF IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF IBOV;BBOV;
BB ETF ÍNDICE BOVESPA B3 BR+ FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF BRAZ;BRAZ;
BB ETF ÍNDICE DIVERSIDADE B3 INVESTIMENTO SUSTENTÁVEL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF DVER;DVER;
BB ETF ÍNDICE FUTURO DE BOI GORDO B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF BOI G;BBOI;
BB ETF ÍNDICE FUTURO DE DOLAR S&P/B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF DOLAR;DOLA;
BB ETF ÍNDICE FUTURO DE MILHO B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF MILHO;CORN;
BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;BB ETF SP DV;BBSD;
B-INDEX ETF CONNECT CHINA AMC CHINEXT FUNDO DE ÍNDICE - RESP LIMITADA;B INDEX TECX;TECX;
B-INDEX ETF CONNECT CHINA UNIVERSAL CSI 300 FUNDO DE ÍNDICE - RESP LIMITADA;B INDEX PKIN;PKIN;
B-INDEX ETF OURO BRL B3 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;B INDEX OURO;OURO;
B-INDEX ETF S&P 500 BRL FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;B INDEX SPYR;SPYR;
B-INDEX MORNINGSTAR BRASIL PESOS IGUAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;B INDEX BREW;BREW;
B-INDEX MORNINGSTAR SETORES CICLICOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;B INDEX CICL;BCIC;
B-INDEX MORNINGSTAR SETORES DEFENSIVOS BRASIL FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;B INDEX DEFE;BDEF;
BTG PACTUAL B3 IBOVESPA FUNDO DE ÍNDICE;PACTUAL IBOV;IBOB;
BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ESG;ETF ESG BTG;ESGB;
BTG PACTUAL FUTURO DE OURO B3 FUNDO DE ÍNDICE;BTGP GOLB ;GOLB;
BTG PACTUAL REFERENCE S&P/B3 CAMBIAL FUNDO DE ÍNDICE;BTG SP DOLAR;DOLB;
BTG PACTUAL S&P 500 FUNDO DE ÍNDICE;BTG S&P 500;SPXB;
BTG PACTUAL S&P 500 FUTURES QUANTO BRL FUNDO DE ÍNDICE;BTG SPHEDGE;SPBZ;
BTG PACTUAL S&P/B3 INGENIUS FUNDO DE ÍNDICE;ETF BTG GENB;GENB;
BTG PACTUAL SMLL B3 FUNDO DE ÍNDICE;BTG SMLL CAP;SMAB;
BTG PACTUAL TEVA AÇŐES COMMODITIES BRASIL FUNDO DE ÍNDICE;BTG COMMODIT;CMDB;
BTG PACTUAL TEVA AUVP AÇŐES FUNDAMENTOS FUNDO DE ÍNDICE;BTGTEVA AUVP;AUVP;
BTG PACTUAL TEVA DIVIDENDOS ATIVOS REAIS LISTADOS FUNDO DE ÍNDICE;BTG DIV REAL;TIRB;
BTG PACTUAL TEVA IABR SELECTOR FUNDO DE ÍNDICE;BTGIABRSELEC;BRXC;
BUENA VISTA BLOOMBERG US BILLIONAIRES INVESTMENT SELECT INDEX FUNDO DE ÍNDICE - RESP LIMITADA;ETF RICO;RICO;
BUENA VISTA DEX NEOS INTERNATIONAL HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITADA;ETF BV GDIV;GDIV;
BUENA VISTA DEX VETTAFI NEOS BOOSTED BITCOIN HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITAD;ETF BV XBCI;XBCI;
BUENA VISTA DEX VETTAFI NEOS BOOSTED S&P 500 HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITAD;ETF BV XSPI;XSPI;
BUENA VISTA DEX VETTAFI NEOS ENERGY INFRASTRUCTURE HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE L;ETF BV PIPE;PIPE;
BUENA VISTA NASDAQ-100 HIGH BETA INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ETF QQQQ;QQQQ;
BUENA VISTA NASDAQ-100 NEOS HIGH INCOME ETF INDEX (NDXHIEN) FUNDO DE ÍNDICE - RESPONSABILIDADE LIM;ETF BV QQQI;QQQI;
BUENA VISTA NEOS BITCOIN HIGH INCOME INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ETF BV COIN;COIN;
BUENA VISTA NEOS ENCHANCED INCOME 1-3 MONTH T-BILL ETF BR INDEX FUNDO DE ÍNDICE - RESP LIMITADA;ETF FIXX;FIXX;
BUENA VISTA NEOS GOLD HIGH INCOME INDEX FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITADA;ETF BV AURO;AURO;
BUENA VISTA NEOS REAL ESTATE HIGH INCOME BR INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ETF CASA;CASA;
BUENA VISTA NEOS RUSSELL 2000 HIGH INCOME INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;ETF BV IWMI;IWMI;
BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S. EQUITY HIGH INCOME INDEX - RESPONSABILIDADE;ETF BV SPYI;SPYI;
CAIXA ETF IBOVESPA FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;CAIXAETFXBOV;XBOV;
CLASSE A DA INVESTO ETF SOLACTIVE GOLD SPOT INDEX DE FUNDO DE ÍNDICE  RESPONSABILIDADE LIMITADA;INVESTO GLDX;GLDX;
ETF TRÍGONO TEVA AÇŐES MICRO CAP / SMALL CAP FUNDO DE ÍNDICE;TRG SMIC CAP;TRIG;
FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IBOVESPA - RESP LIMITADA;ETF BRA IBOV;BOVB;
GALAPAGOS FTSE GLOBAL EQUITIES EX US FUNDO DE ÍNDICE;GLPG GLBEXUS;GXUS;
GENIAL TEVA AÇŐES HIGH BETA CLASSE DE ÍNDICE RESP LIMITADA;GENIAL HBETA;BULZ;
INVESTO ARGENTINA FUNDO DE ÍNDICE;INVESTOARGE;ARGE;
INVESTO B3 UTILIDADE PÚBLICA FUNDO DE ÍNDICE;INVESTOUTIL;UTLL;
INVESTO BLUESTAR TOP 10 US LISTED ALTERNATIVE ASSET MANAGERS ETF FUNDO DE INVESTIMENTO DE ÍNDICE - I;INVESTO PEVC;PEVC;
INVESTO BRAZIL BESST QUALITY FUNDO DE ÍNDICE;INVESTOBEST;BEST;
INVESTO CONSTÂNCIA FATORES DEFENSIVIDADE FUNDO DE ÍNDICE;INVCONSTQBRL;BVBR;
INVESTO ETF GLOBAL VIDEO GAMING & ESPORTS CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA;INVESTO JOGO;JOGO;
INVESTO ETF MSCI US TECHNOLOGY CLASSE DE ÍNDICE - INVESTIMENTO NO EXTERIOR - RESP LIMITADA;INVESTO USTK;USTK;
INVESTO ETF S&P SMALLCAP 600 VALUE CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO SVAL;SVAL;
INVESTO ETF US LISTED  SEMICONDUCTOR 25 INDEX CLASSE DE ÍNDICE IE RESP LIMITADA;INVESTO CHIP;CHIP;
INVESTO FTSE ALL-WORLD FUNDO DE ÍNDICE;INVESTOVWRA;VWRA;
INVESTO FTSE EMERGING MARKETS ALL CAP CHINA  A INCLUSION CLASSE DE ÍNDICE RESPONS LIMITADADA;INVESTOEMERG;IVWO;
INVESTO FTSE GLOBAL EQUITIES ETF CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA;INVESTO WRLD;WRLD;
INVESTO GP ETF S&P 500 FUNDO DE ÍNDICE;INVESTOGPS&P;GPUS;
INVESTO MARKETVECTOR BRAZIL DOMESTIC EXPOSURE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO BDOM;BDOM;
INVESTO MARKETVECTOR BRAZIL GLOBAL EXPOSURE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO BXPO;BXPO;
INVESTO MARKETVECTOR BRAZIL SMALL CAP VALUE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO SCVB;SCVB;
INVESTO MSCI US REAL ESTATE ETF CLASSE DE ÍNDICE - IE - RESPONSABILIDADE LIMITADA;INVESTO ALUG;ALUG;
INVESTO MVIS GLOBAL URANIUM &  NUCLEAR ENERGY ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;INVESTO NUCL;NUCL;
INVESTO MVIS®US BUSINESS DEVELOPMENT COMPANIES INDEX ETF FUNDO DE ÍNDICE;INVESTO BIZD;BIZD;
ISHARES BM&FBOVESPA SMALL CAP CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;ISHARES SMAL;SMAL;
ISHARES BOVESPA BR+ CAP 5% B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;ISHARES CAP5;CAPE;
ISHARES BOVESPA BR+ EQUAL WEIGHT B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;ISHARES EQWE;EWBZ;
ISHARES IBOVESPA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;ISHARES BOVA;BOVA;
ISHARES IBRX - ÍNDICE  BRASIL (IBRX-100) CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;ISHARES BRAX;BRAX;
ISHARES INDICE CARBONO EFICIENTE (ICO2)  BRASIL IS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;ISHARES ECOO;ECOO;
ISHARES S&P 500 CLASSE DE ÍNDICE EM COTAS DE CLASSES DE ÍNDICE IE - RESPONSABILIDADE LIMITADA;ISHARE SP500;IVVB;
IT NOW ETF CONNECT E FUND MSCI CHINA  A50 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW CHINA;SILK;
IT NOW GOLD BRL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW GOLD;GLDI;
IT NOW IBOVESPA B3 BR+ FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;IT NOW B3BR+;B3BR;
IT NOW IBOVESPA FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW IBOV;BOVV;
IT NOW IDIV FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW IDIV;DIVO;
IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;IT NOW DIVD;DIVD;
IT NOW IFNC FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;IT NOW IFNC;FIND;
IT NOW IGCT FUNDO DE INDICE INVESTIMENTO SUSTENTÁVEL RESPONSABILIDADE LIMITADA;IT NOW IGCT;GOVE;
IT NOW IMAT FUNDO DE INDICE RESPONSABILIDADE LIMITADA;IT NOW IMAT;MATB;
IT NOW ISE FUNDO DE ÍNDICE INVESTIMENTO SUSTENTÁVEL - RESPONSABILIDADE LIMITADA;IT NOW ISE;ISUS;
IT NOW MORNINGSTAR US DIGITAL LIFESTYLE FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;DIGITAL LIFE;MILL;
IT NOW MORNINGSTAR XT US HEALTHCARE FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW HCARE;HTEK;
IT NOW NYSE FANG+T FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW TECK;TECK;
IT NOW PIBB IBRX-50 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW PIBB;PIBB;
IT NOW RUSSELL® 1000 GREEN REVENUES 50 FUNDO DE ÍNDICE INVESTIMENTO SUSTENTÁVEL RESP LIMITADA;IT NOW GREEN;REVE;
IT NOW S&P 500 FUTURES QUANTO BRL FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;IT NOW SP BR;SPXR;
IT NOW S&P500® TRN FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW SPXI;SPXI;
IT NOW SMALL CAPS FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA;IT NOW SMALL;SMAC;
NU IBOV SMART DIVIDENDOS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NU IBOV DIV;NSDV;
NU IBOV SMART HIGH BETA B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NUIBOVHIGHBT;HIGH;
NU IBOV SMART LOW VOLATILITY B3 CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NUIBOVLOWVOL;LVOL;
NU IBOVESPA B3 BR+ CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;NUIBOVBRMAIS;NBOV;
NU RENDA IBOV SMART DIVIDENDOS CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;NU REND IBOV;NDIV;
RIO BRAVO INVESTO MARKETVECTOR BRAZIL MULTIFACTOR QUALITY FUNDO DE ÍNDICE;RBINVESTOETF;QLBR;
SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;SAFRAIBOVEST;SPUB;
SAFRA ETF IBOVESPA EMPRESAS PRIVADAS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;SAFRAIBOVPVT;SPVT;
SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;SAFRAETFIBOV;BOVS;
SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇŐES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;SAFRAETFELAS;ELAS;
TREND ETF B3 OURO CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;TREND OURO H;GOLX;
TREND ETF BLOOMBERG ALL COUNTRIES CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XPETFACWI;ACWI;
TREND ETF BLOOMBERG CHINA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA INVESTIMENTO NO EXTERIOR;XPETFCHINA;XINA;
TREND ETF BLOOMBERG US 3000 TECHNOLOGY  CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;XPETFUSTECH;UTEC;
TREND ETF CRSP U.S. LARGE CAP CLASSE DE  ÍNDICE - RESPONSABILIDADE LIMITADA;TREND US LRG;USAL;
TREND ETF IBOVESPA CLASSE DE ÍNDICE -  RESPONSABILIDADE LIMITADA;TREND IBOVX;BOVX;
TREND ETF LBMA OURO CLASSE DE ÍNDICE INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA;TREND OURO;GOLD;
TREND ETF LBMA PRATA CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;TREND PRATA;SLVR;
TREND ETF NASDAQ 100 CLASSE DE ÍNDICE INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE  LIMITADA;TREND NASDAQ;NASD;
TREND ETF S&P / B3 DOLAR CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;TREND DOLAR;DOLX;
TREND ETF S&P 500 QUANTO CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA;TREND SP BRL;SPXH;
